Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"May 6th, 2014",JON JONES,JOSE ALDO,RENAN BARAO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANDERSON SILVA,ANTHONY PETTIS,,,VITOR BELFORT,BENSON HENDERSON,GILBERT MELENDEZ,ALEXANDER GUSTAFSSON,URIJAH FABER,,
"May 12th, 2014",JON JONES,JOSE ALDO,RENAN BARAO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANDERSON SILVA,ANTHONY PETTIS,,,VITOR BELFORT,BENSON HENDERSON,ALEXANDER GUSTAFSSON,GILBERT MELENDEZ,URIJAH FABER,,
"May 26th, 2014",JON JONES,JOSE ALDO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANTHONY PETTIS,ANDERSON SILVA,RENAN BARAO,,,TJ DILLASHAW,VITOR BELFORT,BENSON HENDERSON,ALEXANDER GUSTAFSSON,GILBERT MELENDEZ,,
"May 28th, 2014",JON JONES,JOSE ALDO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANTHONY PETTIS,ANDERSON SILVA,RENAN BARAO,,,TJ DILLASHAW,VITOR BELFORT,BENSON HENDERSON,ALEXANDER GUSTAFSSON,GILBERT MELENDEZ,,
"Jun 2nd, 2014",JON JONES,JOSE ALDO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANTHONY PETTIS,ANDERSON SILVA,RENAN BARAO,,,TJ DILLASHAW,VITOR BELFORT,BENSON HENDERSON,ALEXANDER GUSTAFSSON,GILBERT MELENDEZ,,
"Jun 9th, 2014",JON JONES,JOSE ALDO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANTHONY PETTIS,ANDERSON SILVA,RENAN BARAO,,,TJ DILLASHAW,VITOR BELFORT,BENSON HENDERSON,ALEXANDER GUSTAFSSON,GILBERT MELENDEZ,,
"Jun 16th, 2014",JON JONES,JOSE ALDO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANTHONY PETTIS,ANDERSON SILVA,RENAN BARAO,,,TJ DILLASHAW,VITOR BELFORT,BENSON HENDERSON,ALEXANDER GUSTAFSSON,GILBERT MELENDEZ,,
"Jun 30th, 2014",JON JONES,JOSE ALDO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANTHONY PETTIS,ANDERSON SILVA,RENAN BARAO,,,TJ DILLASHAW,VITOR BELFORT,BENSON HENDERSON,ALEXANDER GUSTAFSSON,GILBERT MELENDEZ,,
"Jul 8th, 2014",JON JONES,JOSE ALDO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANTHONY PETTIS,ANDERSON SILVA,RENAN BARAO,,,TJ DILLASHAW,VITOR BELFORT,BENSON HENDERSON,ALEXANDER GUSTAFSSON,GILBERT MELENDEZ,,
"Jul 21st, 2014",JON JONES,JOSE ALDO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANTHONY PETTIS,ANDERSON SILVA,RENAN BARAO,,,TJ DILLASHAW,VITOR BELFORT,BENSON HENDERSON,ALEXANDER GUSTAFSSON,GILBERT MELENDEZ,,
"Jul 28th, 2014",JON JONES,JOSE ALDO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANTHONY PETTIS,ANDERSON SILVA,RENAN BARAO,,,TJ DILLASHAW,VITOR BELFORT,BENSON HENDERSON,ALEXANDER GUSTAFSSON,DANIEL CORMIER,,
"Aug 18th, 2014",JON JONES,JOSE ALDO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANTHONY PETTIS,ANDERSON SILVA,RENAN BARAO,,,TJ DILLASHAW,VITOR BELFORT,BENSON HENDERSON,ALEXANDER GUSTAFSSON,DANIEL CORMIER,,
"Aug 25th, 2014",JON JONES,JOSE ALDO,CAIN VELASQUEZ,CHRIS WEIDMAN,DEMETRIOUS JOHNSON,ANTHONY PETTIS,ANDERSON SILVA,RENAN BARAO,,,TJ DILLASHAW,VITOR BELFORT,ALEXANDER GUSTAFSSON,DANIEL CORMIER,GILBERT MELENDEZ,,
"Sep 1st, 2014",JON JONES,JOSE ALDO,CAIN VELASQUEZ,CHRIS WEIDMAN,DEMETRIOUS JOHNSON,ANTHONY PETTIS,ANDERSON SILVA,,RENAN BARAO,,TJ DILLASHAW,VITOR BELFORT,ALEXANDER GUSTAFSSON,DANIEL CORMIER,GILBERT MELENDEZ,,
"Sep 8th, 2014",JON JONES,JOSE ALDO,CAIN VELASQUEZ,CHRIS WEIDMAN,DEMETRIOUS JOHNSON,ANTHONY PETTIS,ANDERSON SILVA,,RENAN BARAO,,TJ DILLASHAW,VITOR BELFORT,ALEXANDER GUSTAFSSON,DANIEL CORMIER,GILBERT MELENDEZ,,
"Sep 9th, 2014",JON JONES,JOSE ALDO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANTHONY PETTIS,ANDERSON SILVA,,RENAN BARAO,,TJ DILLASHAW,VITOR BELFORT,ALEXANDER GUSTAFSSON,DANIEL CORMIER,GILBERT MELENDEZ,,
"Sep 15th, 2014",JON JONES,JOSE ALDO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANTHONY PETTIS,ANDERSON SILVA,,,RENAN BARAO,TJ DILLASHAW,VITOR BELFORT,ALEXANDER GUSTAFSSON,DANIEL CORMIER,GILBERT MELENDEZ,,
"Sep 22nd, 2014",JON JONES,JOSE ALDO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANTHONY PETTIS,ANDERSON SILVA,,,RENAN BARAO,TJ DILLASHAW,VITOR BELFORT,ALEXANDER GUSTAFSSON,DANIEL CORMIER,GILBERT MELENDEZ,,
"Sep 29th, 2014",JON JONES,JOSE ALDO,DEMETRIOUS JOHNSON,CAIN VELASQUEZ,CHRIS WEIDMAN,ANTHONY PETTIS,ANDERSON SILVA,,,RENAN BARAO,TJ DILLASHAW,VITOR BELFORT,DANIEL CORMIER,ALEXANDER GUSTAFSSON,DOMINICK CRUZ,,
"Oct 6th, 2014",JON JONES,JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,CAIN VELASQUEZ,ANTHONY PETTIS,ANDERSON SILVA,,,TJ DILLASHAW,RENAN BARAO,VITOR BELFORT,ALEXANDER GUSTAFSSON,DOMINICK CRUZ,DANIEL CORMIER,,
"Oct 27th, 2014",JON JONES,JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,CAIN VELASQUEZ,ANTHONY PETTIS,ANDERSON SILVA,,,TJ DILLASHAW,RENAN BARAO,VITOR BELFORT,DOMINICK CRUZ,DANIEL CORMIER,ALEXANDER GUSTAFSSON,,
"Nov 10th, 2014",JON JONES,JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,CAIN VELASQUEZ,ANTHONY PETTIS,ANDERSON SILVA,,,TJ DILLASHAW,RENAN BARAO,VITOR BELFORT,DOMINICK CRUZ,DANIEL CORMIER,ALEXANDER GUSTAFSSON,,
"Nov 17th, 2014",JON JONES,JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,CAIN VELASQUEZ,ANTHONY PETTIS,,ANDERSON SILVA,,TJ DILLASHAW,RENAN BARAO,DOMINICK CRUZ,VITOR BELFORT,DANIEL CORMIER,ALEXANDER GUSTAFSSON,,
"Nov 24th, 2014",JON JONES,JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,CAIN VELASQUEZ,ANTHONY PETTIS,ANDERSON SILVA,,,TJ DILLASHAW,RENAN BARAO,DOMINICK CRUZ,VITOR BELFORT,DANIEL CORMIER,ALEXANDER GUSTAFSSON,,
"Dec 8th, 2014",JON JONES,JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,CAIN VELASQUEZ,ANTHONY PETTIS,,ANDERSON SILVA,TJ DILLASHAW,RENAN BARAO,,,DOMINICK CRUZ,DANIEL CORMIER,VITOR BELFORT,,
"Dec 15th, 2014",JON JONES,JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,CAIN VELASQUEZ,ANTHONY PETTIS,,ANDERSON SILVA,TJ DILLASHAW,RENAN BARAO,,,DOMINICK CRUZ,DANIEL CORMIER,VITOR BELFORT,,
"Dec 22nd, 2014",JON JONES,JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANTHONY PETTIS,CAIN VELASQUEZ,,ANDERSON SILVA,TJ DILLASHAW,RENAN BARAO,,,DOMINICK CRUZ,DANIEL CORMIER,VITOR BELFORT,,
"Jan 5th, 2015",JON JONES,JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANTHONY PETTIS,CAIN VELASQUEZ,,ANDERSON SILVA,TJ DILLASHAW,RENAN BARAO,,,DOMINICK CRUZ,VITOR BELFORT,ALEXANDER GUSTAFSSON,,
"Jan 20th, 2015",JON JONES,JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANTHONY PETTIS,CAIN VELASQUEZ,TJ DILLASHAW,,ANDERSON SILVA,RENAN BARAO,,,DOMINICK CRUZ,VITOR BELFORT,ALEXANDER GUSTAFSSON,,
"Jan 26th, 2015",JON JONES,JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANTHONY PETTIS,CAIN VELASQUEZ,,TJ DILLASHAW,ANDERSON SILVA,RENAN BARAO,,,VITOR BELFORT,DOMINICK CRUZ,FABRICIO WERDUM,,
"Feb 2nd, 2015",JON JONES,JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANTHONY PETTIS,CAIN VELASQUEZ,,ANDERSON SILVA,TJ DILLASHAW,,RENAN BARAO,,VITOR BELFORT,DOMINICK CRUZ,FABRICIO WERDUM,,
"Feb 16th, 2015",JON JONES,JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANTHONY PETTIS,CAIN VELASQUEZ,,TJ DILLASHAW,ANDERSON SILVA,,RENAN BARAO,,VITOR BELFORT,DOMINICK CRUZ,FABRICIO WERDUM,,
"Feb 24th, 2015",JON JONES,JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANTHONY PETTIS,CAIN VELASQUEZ,,TJ DILLASHAW,ANDERSON SILVA,,RENAN BARAO,,VITOR BELFORT,DOMINICK CRUZ,FABRICIO WERDUM,,
